PBP_BP_ID,"TIMESTAMPDIFF(MONTH ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(DAY ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(HOUR ,PBP_START_DATE,PBP_END_DATE)","TIMESTAMPDIFF(MINUTE ,PBP_START_DATE,PBP_END_DATE)"
810,0,9,224,13474
821,11,365,8760,525600
827,0,-4,-108,-6523
847,0,-24,-589,-35393
852,1,55,1330,79846
855,11,358,8592,515520
856,15,477,11449,686940
857,16,514,12337,740220
874,11,351,8424,505440
888,11,345,8280,496800
889,11,345,8280,496800
891,6,211,5064,303840
892,2,83,1993,119580
893,0,15,371,22278
896,11,343,8232,493920
898,11,343,8232,493920
899,0,1,34,2082
902,6,208,4992,299520
903,11,342,8208,492480
906,10,335,8040,482400
911,5,173,4152,249120
914,10,324,7799,467940
917,10,322,7751,465060
921,10,324,7799,467940
928,5,178,4295,257700
929,4,150,3623,217380
948,9,300,7223,433380
949,9,300,7223,433380
950,9,300,7223,433380
951,9,296,7127,427620
952,9,296,7127,427620
953,9,296,7127,427620
954,9,293,7055,423300
955,14,448,10766,645990
957,9,288,6935,416100
960,0,0,8,496
961,9,285,6863,411780
980,8,247,5951,357060
981,8,247,5951,357060
991,11,365,8760,525600
992,7,240,5783,346980
997,7,233,5615,336900
998,13,416,9984,599040
999,13,416,9984,599040
1000,7,219,5279,316740
1003,7,229,5519,331140
1004,0,-1,-25,-1554
1017,6,210,5063,303780
1021,6,210,5063,303780
1023,11,335,8040,482400
1025,11,336,8064,483840
1032,10,324,7776,466560
1034,6,198,4775,286500
1040,3,120,2880,172800
1085,6,205,4921,295260
1086,6,204,4897,293820
1087,6,204,4897,293820
1088,6,204,4897,293820
1090,6,194,4657,279420
1093,5,183,4393,263580
1094,2,63,1526,91569
1095,2,63,1526,91569
1120,7,224,5376,322560
1131,7,224,5376,322560
1158,6,185,4440,266400
1160,10,309,7416,444960
1162,4,130,3121,187260
1163,8,256,6144,368640
1165,10,319,7656,459360
1167,3,120,2891,173508
1168,3,120,2891,173508
1171,10,316,7584,455040
1172,7,240,5760,345600
1173,10,313,7512,450720
1174,10,313,7512,450720
1178,10,334,8027,481626
1179,0,16,385,23100
1180,0,0,7,459
1181,8,269,6456,387360
1182,9,280,6720,403200
1184,69,2101,50424,3025440
1215,9,274,6599,395940
1218,8,270,6503,390180
1219,8,269,6479,388740
1223,6,196,4727,283620
1225,9,275,6623,397380
1233,4,134,3216,192960
1235,0,17,420,25236
1236,6,192,4631,277860
1238,5,156,3767,226020
1240,5,168,4055,243300
1242,2,70,1703,102180
1257,0,27,658,39515
1258,4,128,3095,185700
1261,5,170,4103,246180
1262,6,191,4607,276420
1263,7,216,5207,312420
1265,5,168,4055,243300
1268,7,217,5231,313860
1276,6,200,4819,289154
1293,7,214,5159,309540
1294,6,211,5087,305220
1296,4,126,3047,182820
1300,3,120,2903,174180
1301,5,181,4367,262020
1305,5,179,4319,259140
1309,2,64,1559,93540
1312,5,169,4079,244740
1319,5,180,4320,259200
1342,0,28,672,40320
1360,3,110,2640,158400
1365,3,102,2448,146880
1367,3,120,2880,172800
1379,4,127,3048,182880
1398,0,15,360,21600
